YEAR	GRID_NAME	SATELLITE	BLACK LIST	USETILEMASK	SATELLITE_COMMENT
2015	SI-19-V-C	L8		true	
2016	SI-19-V-C	L8		true	
2017	SI-19-V-C	L8		true	
2018	SI-19-V-C	L8		true	
2019	SI-19-V-C	L8		true	
2020	SI-19-V-C	L8		true	
2021	SI-19-V-C	L8		true	
2022	SI-19-V-C	L8		true	
2023	SI-19-V-C	L9		true	
2024	SI-19-V-C	L9		true	
2025	SI-19-V-C	L8		true	
1996	SI-19-V-D	L5		true	
1997	SI-19-V-D	L5		true	
1998	SI-19-V-D	L5		true	
1999	SI-19-V-D	L5		true	
2000	SI-19-V-D	L7		true	
2001	SI-19-V-D	L7		true	
2002	SI-19-V-D	L7		true	
2003	SI-19-V-D	L7		true	
2004	SI-19-V-D	L7		true	
2005	SI-19-V-D	L7		true	
2006	SI-19-V-D	L7		true	
2007	SI-19-V-D	L7		true	
2008	SI-19-V-D	L7		true	
2009	SI-19-V-D	L7		true	
2010	SI-19-V-D	L7		true	
2011	SI-19-V-D	L7		true	
2012	SI-19-V-D	L7		true	satellite anterior (anómalo): 99
2013	SI-19-V-D	L8		true	
2014	SI-19-V-D	L8		true	
2015	SI-19-V-D	L8		true	
2016	SI-19-V-D	L8		true	
2017	SI-19-V-D	L8		true	
2018	SI-19-V-D	L8		true	
2019	SI-19-V-D	L8		true	
2020	SI-19-V-D	L8		true	
2021	SI-19-V-D	L8		true	
2022	SI-19-V-D	L8		true	
2023	SI-19-V-D	L9		true	
2024	SI-19-V-D	L9		true	
2025	SI-19-V-D	L9		true	
1996	SJ-19-V-B	L5		true	
1997	SJ-19-V-B	L5		true	
1998	SJ-19-V-B	L5		true	
1999	SJ-19-V-B	L5		true	
2000	SJ-19-V-B	L7		true	
2001	SJ-19-V-B	L7		true	
2002	SJ-19-V-B	L7		true	
2003	SJ-19-V-B	L5		true	
2004	SJ-19-V-B	L7		true	
2005	SJ-19-V-B	L7		true	
2006	SJ-19-V-B	L7		true	
2007	SJ-19-V-B	L7		true	
2008	SJ-19-V-B	L7		true	
2009	SJ-19-V-B	L7		true	
2010	SJ-19-V-B	L7		true	
2011	SJ-19-V-B	L7		true	
2012	SJ-19-V-B	L7		true	satellite anterior (anómalo): 99
2013	SJ-19-V-B	L8		true	
2014	SJ-19-V-B	L8		true	
2015	SJ-19-V-B	L8		true	
2016	SJ-19-V-B	L8		true	
2017	SJ-19-V-B	L8		true	
2018	SJ-19-V-B	L8		true	
2019	SJ-19-V-B	L8		true	
2020	SJ-19-V-B	L8		true	
2021	SJ-19-V-B	L8		true	
2022	SJ-19-V-B	L8		true	
2023	SJ-19-V-B	L8		true	
2024	SJ-19-V-B	L8		true	
2025	SJ-19-V-B	L9		true	
1996	SJ-18-X-C	L5		true	satellite anterior (anómalo): 0
1997	SJ-18-X-C	L5		true	satellite anterior (anómalo): 0
1998	SJ-18-X-C	L5		true	
1999	SJ-18-X-C	L5		true	
2000	SJ-18-X-C	L5		true	
2001	SJ-18-X-C	L7		true	
2002	SJ-18-X-C	L7		true	
2003	SJ-18-X-C	L7		true	
2004	SJ-18-X-C	L7		true	
2005	SJ-18-X-C	L7		true	
2006	SJ-18-X-C	L7		true	
2007	SJ-18-X-C	L7		true	
2008	SJ-18-X-C	L7		true	
2009	SJ-18-X-C	L7		true	
2010	SJ-18-X-C	L7		true	
2011	SJ-18-X-C	L7		true	
2012	SJ-18-X-C	L7		true	
2013	SJ-18-X-C	L8		true	
2014	SJ-18-X-C	L8		true	
2015	SJ-18-X-C	L8		true	
2016	SJ-18-X-C	L8		true	
2017	SJ-18-X-C	L8		true	
2018	SJ-18-X-C	L8		true	
2019	SJ-18-X-C	L8		true	
2020	SJ-18-X-C	L8		true	
2021	SJ-18-X-C	L8		true	
2022	SJ-18-X-C	L8		true	
2023	SJ-18-X-C	L9		true	
2024	SJ-18-X-C	L9		true	
2025	SJ-18-X-C	L9		true	
1996	SJ-18-X-D	L5		true	satellite anterior (anómalo): 0
1997	SJ-18-X-D	L5		true	satellite anterior (anómalo): 0
1998	SJ-18-X-D	L5	LT05_233086_19980708,LT05_233086_19980302	true	
1999	SJ-18-X-D	L5		true	
2000	SJ-18-X-D	L5		true	
2001	SJ-18-X-D	L7		true	
2002	SJ-18-X-D	L7		true	
2003	SJ-18-X-D	L7		true	
2004	SJ-18-X-D	L7		true	
2005	SJ-18-X-D	L7		true	
2006	SJ-18-X-D	L7		true	
2007	SJ-18-X-D	L7		true	
2008	SJ-18-X-D	L7		true	
2009	SJ-18-X-D	L7		true	
2010	SJ-18-X-D	L7		true	
2011	SJ-18-X-D	L7		true	
2012	SJ-18-X-D	L7	LE07_232082_20120206,LE07_232082_20120410,LE07_232083_20121003,LE07_232082_20120426,LE07_233083_20120722,LE07_233083_20120908,LE07_233083_20121010,LE07_233083_20121111,LE07_232082_20120528,LE07_232082_20120613,LE07_232082_20120715,LE07_232082_20120731,LE07_232082_20120901,LE07_232082_20121019	true	
2013	SJ-18-X-D	L8		true	
2014	SJ-18-X-D	L8		true	
2015	SJ-18-X-D	L8		true	
2016	SJ-18-X-D	L8		true	
2017	SJ-18-X-D	L8		true	
2018	SJ-18-X-D	L8		true	
2019	SJ-18-X-D	L8		true	
2020	SJ-18-X-D	L8		true	
2021	SJ-18-X-D	L8		true	
2022	SJ-18-X-D	L8		true	
2023	SJ-18-X-D	L9		true	
2024	SJ-18-X-D	L9		true	
2025	SJ-18-X-D	L9		true	
1996	SJ-19-V-C	L5		true	satellite anterior (anómalo): 0
1997	SJ-19-V-C	L5		true	satellite anterior (anómalo): 0
1998	SJ-19-V-C	L5		true	
1999	SJ-19-V-C	L5		true	
2000	SJ-19-V-C	L5		true	
2001	SJ-19-V-C	L7		true	
2002	SJ-19-V-C	L7		true	
2003	SJ-19-V-C	L7		true	
2004	SJ-19-V-C	L7		true	
2005	SJ-19-V-C	L7		true	
2006	SJ-19-V-C	L7		true	
2007	SJ-19-V-C	L7		true	
2008	SJ-19-V-C	L7		true	
2009	SJ-19-V-C	L7		true	
2010	SJ-19-V-C	L7		true	
2011	SJ-19-V-C	L7		true	
2012	SJ-19-V-C	L7		true	
2013	SJ-19-V-C	L8		true	
2014	SJ-19-V-C	L8		true	
2015	SJ-19-V-C	L8		true	
2016	SJ-19-V-C	L8		true	
2017	SJ-19-V-C	L8		true	
2018	SJ-19-V-C	L8		true	
2019	SJ-19-V-C	L8		true	
2020	SJ-19-V-C	L8		true	
2021	SJ-19-V-C	L8		true	
2022	SJ-19-V-C	L8		true	
2023	SJ-19-V-C	L9		true	
2024	SJ-19-V-C	L9		true	
2025	SJ-19-V-C	L8		true	
1996	SK-18-X-C	L5		true	satellite anterior (anómalo): 0
1997	SK-18-X-C	L5		true	satellite anterior (anómalo): 0
1998	SK-18-X-C	L5	LT05_233089_19981129,LT05_233089_19980825,LT05_233089_19980708,LT05_001089_19980816,LT05_001088_19981003,LT05_001088_19980816,LT05_001088_19980731	true	
1999	SK-18-X-C	L5		true	
2000	SK-18-X-C	L5		true	
2001	SK-18-X-C	L7		true	
2002	SK-18-X-C	L7	LE07_233089_20020508,LE07_233089_20020609,LE07_233089_20021202,LE07_233089_20020217	true	
2003	SK-18-X-C	L7	LE07_233089_20030511,LE07_233089_20030103	true	
2004	SK-18-X-C	L7		true	
2005	SK-18-X-C	L7		true	
2006	SK-18-X-C	L7		true	
2007	SK-18-X-C	L7		true	
2008	SK-18-X-C	L7		true	
2009	SK-18-X-C	L7		true	
2010	SK-18-X-C	L7		true	
2011	SK-18-X-C	L7		true	
2012	SK-18-X-C	L7		true	
2013	SK-18-X-C	L8		true	
2014	SK-18-X-C	L8		true	
2015	SK-18-X-C	L8		true	
2016	SK-18-X-C	L8		true	
2017	SK-18-X-C	L8		true	
2018	SK-18-X-C	L8		true	
2019	SK-18-X-C	L8		true	
2020	SK-18-X-C	L8		true	
2021	SK-18-X-C	L8		true	
